IBOV - Carteira do Dia 26/12/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ELET6;ELETROBRAS;PNB     N1;270.230.714;0,555;
EMBR3;EMBRAER;ON      NM;734.632.705;0,732;
ENGI11;ENERGISA;UNT     N2;290.435.910;0,660;
ENEV3;ENEVA;ON      NM;1.578.931.315;0,944;
EGIE3;ENGIE BRASIL;ON  EJ  NM;255.230.961;0,498;
EQTL3;EQUATORIAL;ON      NM;1.095.587.251;1,689;
EZTC3;EZTEC;ON      NM;91.514.307;0,075;
FLRY3;FLEURY;ON  EJ  NM;345.269.967;0,280;
GGBR4;GERDAU;PN      N1;1.118.525.506;1,158;
GOAU4;GERDAU MET;PN      N1;660.411.219;0,313;
GOLL4;GOL;PN      N2;198.184.909;0,079;
NTCO3;GRUPO NATURA;ON  ATZ NM;839.638.069;0,603;
SOMA3;GRUPO SOMA;ON      NM;496.029.967;0,162;
HAPV3;HAPVIDA;ON      NM;4.324.011.467;0,824;
HYPE3;HYPERA;ON      NM;409.490.388;0,649;
IGTI11;IGUATEMI S.A;UNT     N1;217.622.138;0,230;
IRBR3;IRBBRASIL RE;ON      NM;81.838.843;0,163;
ITSA4;ITAUSA;PN  EJ  N1;5.457.171.904;2,449;
ITUB4;ITAUUNIBANCO;PN      N1;4.801.593.832;7,003;
JBSS3;JBS;ON      NM;1.134.986.472;1,237;
KLBN11;KLABIN S/A;UNT EJ  N2;706.747.385;0,678;
RENT3;LOCALIZA;ON      NM;852.600.726;2,409;
LWSA3;LOCAWEB;ON      NM;425.161.586;0,112;
LREN3;LOJAS RENNER;ON  EJ  NM;951.318.467;0,738;
MGLU3;MAGAZ LUIZA;ON      NM;2.867.627.068;0,266;
MRFG3;MARFRIG;ON      NM;292.587.273;0,126;
BEEF3;MINERVA;ON      NM;261.036.182;0,084;
MRVE3;MRV;ON      NM;376.187.582;0,177;
MULT3;MULTIPLAN;ON      N2;266.965.257;0,334;
PCAR3;P.ACUCAR-CBD;ON      NM;159.430.826;0,028;
PETR3;PETROBRAS;ON      N2;2.585.311.860;4,372;
PETR4;PETROBRAS;PN      N2;4.566.445.852;7,346;
RECV3;PETRORECSA;ON      NM;274.957.807;0,258;
PRIO3;PETRORIO;ON  ED  NM;798.274.909;1,586;
PETZ3;PETZ;ON      NM;329.077.188;0,058;
RADL3;RAIADROGASIL;ON  ED  NM;1.263.596.819;1,598;
RAIZ4;RAIZEN;PN  EJ  N2;1.193.671.389;0,220;
RDOR3;REDE D OR;ON  EJ  NM;1.168.230.366;1,442;
RAIL3;RUMO S.A.;ON      NM;1.218.352.541;1,222;
SBSP3;SABESP;ON      NM;340.001.799;1,115;
SANB11;SANTANDER BR;UNT;342.918.449;0,474;
SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,183;
CSNA3;SID NACIONAL;ON;600.865.451;0,503;
SLCE3;SLC AGRICOLA;ON  EB  NM;203.648.730;0,169;
SUZB3;SUZANO S.A.;ON      NM;683.452.836;1,644;
TAEE11;TAESA;UNT     N2;218.568.234;0,360;
VIVT3;TELEF BRASIL;ON;423.091.712;0,992;
TIMS3;TIM;ON  EJ  NM;807.896.814;0,633;
TOTS3;TOTVS;ON      NM;514.122.351;0,740;
UGPA3;ULTRAPAR;ON      NM;1.086.411.192;1,251;
USIM5;USIMINAS;PNA     N1;515.117.391;0,209;
VALE3;VALE;ON      NM;4.427.123.466;14,809;
VAMO3;VAMOS;ON  EJ  NM;421.383.330;0,179;
VBBR3;VIBRA;ON  EJ  NM;1.114.412.532;1,082;
WEGE3;WEG;ON  EJ  NM;1.481.593.024;2,369;
YDUQ3;YDUQS PART;ON      NM;289.347.914;0,281;
Quantidade Teórica Total;;;96.571.029.272;100,000
Redutor;;;17.202.879,03349380
