IBOV - Carteira do Dia 16/01/24
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.481.593.024;2,268;2,268;
Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734.632.705;0,702;0,702;
Bens Indls/Transporte;AZUL4;AZUL;PN      N2;327.593.725;0,199;2,140;
Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;995.335.937;0,613;2,140;
Bens Indls/Transporte;GOLL4;GOL;PN      N2;198.184.909;0,063;2,140;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.218.352.541;1,265;2,140;
Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;1.677.525.446;0,982;2,630;
Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON      NM;1.134.986.472;1,252;2,630;
Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;331.799.687;0,142;2,630;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;261.036.182;0,082;2,630;
Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;142.377.330;0,172;2,630;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.394.245.879;2,663;2,663;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.349.217.892;0,885;1,210;
Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;533.990.587;0,289;1,210;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;159.430.826;0,036;1,210;
Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;846.244.302;0,630;0,630;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;195.751.130;0,155;0,155;
Consumo Cíclico / Comércio;ARZZ3;AREZZO CO;ON      NM;62.305.891;0,171;1,444;
Consumo Cíclico / Comércio;BHIA3;CASAS BAHIA;ON      NM;94.843.047;0,043;1,444;
Consumo Cíclico / Comércio;SOMA3;GRUPO SOMA;ON      NM;496.029.967;0,168;1,444;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;951.329.770;0,721;1,444;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON  ATZ NM;2.867.627.068;0,291;1,444;
Consumo Cíclico / Comércio;PETZ3;PETZ;ON      NM;309.729.428;0,050;1,444;
Consumo Cíclico / Tecid Vest Calç;ALPA4;ALPARGATAS;PN      N1;176.733.968;0,071;0,071;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;265.784.616;0,271;0,471;
Consumo Cíclico/Constr Civil;EZTC3;EZTEC;ON      NM;91.514.307;0,068;0,471;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;376.187.582;0,132;0,471;
Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;525.582.771;0,079;0,079;
Diversos;COGN3;COGNA ON;ON      NM;1.814.920.980;0,270;3,052;
Diversos;RENT3;LOCALIZA;ON      NM;853.202.347;2,328;3,052;
Diversos;VAMO3;VAMOS;ON      NM;421.383.330;0,179;3,052;
Diversos;YDUQ3;YDUQS PART;ON      NM;289.347.914;0,275;3,052;
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;532.616.595;0,607;1,187;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;217.622.138;0,237;1,187;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;268.505.432;0,343;1,187;
Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN      N1;5.372.783.971;2,449;2,449;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON      N1;1.500.728.902;0,960;17,764;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN      N1;5.146.576.868;3,643;17,764;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;1.420.949.112;3,561;17,764;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.150.645.866;1,974;17,764;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN      N1;4.801.593.832;7,163;17,764;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;342.918.449;0,463;17,764;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;671.750.768;1,009;1,157;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.843;0,148;1,157;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.602.790.110;3,531;3,761;
Financeiro e Outros/Serviços Financeiros Diversos;CIEL3;CIELO;ON      NM;1.095.462.329;0,230;3,761;
Mats Básicos / Madeira e Papel;DXCO3;DEXCO;ON      NM;302.768.240;0,108;2,464;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;706.747.385;0,714;2,464;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;683.452.836;1,642;2,464;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;251.003.438;0,267;14,003;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1.110.559.345;0,344;14,003;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;4.196.924.316;13,392;14,003;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265.877.867;0,225;0,225;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1.118.525.506;1,062;2,031;
