IBOV - Carteira do Dia 16/01/24
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;660.411.219;0,295;2,031;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;600.865.451;0,478;2,031;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.117.391;0,196;2,031;
Petróleo/ Gás e Biocombustíveis;RRRP3;3R PETROLEUM;ON      NM;235.665.566;0,305;18,086;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.168.097.881;1,018;18,086;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;2.379.877.655;4,250;18,086;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.566.445.852;7,857;18,086;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;275.005.663;0,260;18,086;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;800.010.734;1,679;18,086;
Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1.193.047.233;0,213;18,086;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.086.411.192;1,360;18,086;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.114.412.532;1,144;18,086;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;409.490.388;0,630;2,221;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.275.798.515;1,591;2,221;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;240.822.651;0,188;2,559;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4.394.332.306;0,894;2,559;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.168.230.366;1,477;2,559;
Tec.Informação/Programas Servs;LWSA3;LWSA;ON      NM;393.173.139;0,109;0,853;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;514.122.351;0,744;0,853;
Telecomunicação;VIVT3;TELEF BRASIL;ON;423.091.712;0,956;1,585;
Telecomunicação;TIMS3;TIM;ON      NM;807.896.814;0,629;1,585;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;340.001.799;1,173;1,173;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.437.415.777;0,779;10,967;
Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1.679.335.290;0,765;10,967;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,315;10,967;
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;1.980.568.384;3,841;10,967;
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;268.544.014;0,589;10,967;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;290.386.402;0,699;10,967;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.579.130.168;0,902;10,967;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255.236.961;0,493;10,967;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.095.587.251;1,741;10,967;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,369;10,967;
Utilidade Públ / Energ Elétrica;TRPL4;TRAN PAULIST;PN      N1;395.801.044;0,474;10,967;
Quantidade Teórica Total;;;;96.372.098.181;100,000;100,000
Redutor;;;;17.048.770,05751012
