IBOV - Carteira do Dia 27/12/23
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;532.616.595;0,618;1,179;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;217.622.138;0,230;1,179;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;266.965.257;0,331;1,179;
Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN  EJ  N1;5.457.171.904;2,443;2,443;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON  EJ  N1;1.500.728.902;0,987;17,545;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN  EJ  N1;5.146.576.868;3,783;17,545;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;1.420.949.112;3,399;17,545;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.150.645.866;1,868;17,545;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN      N1;4.801.593.832;7,035;17,545;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;342.918.449;0,473;17,545;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;671.750.768;0,983;1,144;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.843;0,161;1,144;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.694.552.584;3,635;3,860;
Financeiro e Outros/Serviços Financeiros Diversos;CIEL3;CIELO;ON      NM;1.095.462.329;0,225;3,860;
Mats Básicos / Madeira e Papel;DXCO3;DEXCO;ON  EJ  NM;303.055.637;0,108;2,424;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT EJ  N2;706.747.385;0,673;2,424;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;683.452.836;1,643;2,424;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;251.003.438;0,278;15,424;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1.110.559.345;0,369;15,424;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;4.427.123.466;14,777;15,424;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265.479.055;0,252;0,252;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1.118.525.506;1,150;2,176;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;660.411.219;0,311;2,176;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;600.865.451;0,506;2,176;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.117.391;0,209;2,176;
Petróleo/ Gás e Biocombustíveis;RRRP3;3R PETROLEUM;ON      NM;235.661.666;0,272;17,492;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.168.097.881;0,979;17,492;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;2.585.311.860;4,413;17,492;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.566.445.852;7,422;17,492;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;274.957.807;0,264;17,492;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;798.274.909;1,596;17,492;
Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN  EJ  N2;1.193.671.389;0,215;17,492;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.086.411.192;1,247;17,492;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON  EJ  NM;1.114.412.532;1,084;17,492;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON  EJ  NM;409.490.388;0,637;2,256;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON  ED  NM;1.263.596.819;1,619;2,256;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON  EJ  NM;345.269.967;0,278;2,528;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4.324.011.467;0,811;2,528;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON  EJ  NM;1.168.230.366;1,439;2,528;
Tec.Informação/Programas Servs;LWSA3;LOCAWEB;ON      NM;425.161.586;0,116;0,867;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;514.122.351;0,751;0,867;
Telecomunicação;VIVT3;TELEF BRASIL;ON  EJ;423.091.712;0,984;1,612;
Telecomunicação;TIMS3;TIM;ON  EJ  NM;807.896.814;0,628;1,612;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;340.001.799;1,098;1,098;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN  EJ  N1;1.437.415.777;0,702;10,093;
Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1.679.335.290;0,753;10,093;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,316;10,093;
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;1.980.568.384;3,629;10,093;
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;270.230.714;0,553;10,093;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;290.435.910;0,670;10,093;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.578.931.315;0,934;10,093;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON  EJ  NM;255.230.961;0,498;10,093;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.095.587.251;1,679;10,093;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,359;10,093;
Quantidade Teórica Total;;;;96.574.088.400;100,000;100,000
Redutor;;;;17.199.652,76052509
