IBOV - Carteira do Dia 27/12/23
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON  EJ  NM;1.481.593.024;2,369;2,369;
Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734.632.705;0,720;0,720;
Bens Indls/Transporte;AZUL4;AZUL;PN      N2;327.593.725;0,232;2,149;
Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;995.335.937;0,622;2,149;
Bens Indls/Transporte;GOLL4;GOL;PN      N2;198.184.909;0,079;2,149;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.218.352.541;1,216;2,149;
Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;1.677.525.446;1,003;2,630;
Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON      NM;1.134.986.472;1,235;2,630;
Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;292.587.273;0,125;2,630;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;261.036.182;0,085;2,630;
Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,182;2,630;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON  EJ;4.394.245.879;2,635;2,635;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.349.645.897;0,786;1,098;
Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;531.372.207;0,284;1,098;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;159.430.826;0,028;1,098;
Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON  ATZ NM;839.638.069;0,595;0,595;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;203.648.730;0,168;0,168;
Consumo Cíclico / Comércio;ARZZ3;AREZZO CO;ON      NM;62.305.891;0,180;1,436;
Consumo Cíclico / Comércio;BHIA3;CASAS BAHIA;ON  EG  NM;94.463.137;0,045;1,436;
Consumo Cíclico / Comércio;SOMA3;GRUPO SOMA;ON      NM;496.029.967;0,159;1,436;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON  EJ  NM;951.318.467;0,729;1,436;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;2.867.627.068;0,263;1,436;
Consumo Cíclico / Comércio;PETZ3;PETZ;ON      NM;329.077.188;0,060;1,436;
Consumo Cíclico / Tecid Vest Calç;ALPA4;ALPARGATAS;PN      N1;208.965.950;0,088;0,088;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;265.784.616;0,280;0,531;
Consumo Cíclico/Constr Civil;EZTC3;EZTEC;ON      NM;91.514.307;0,075;0,531;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;376.187.582;0,176;0,531;
Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;443.905.649;0,077;0,077;
Diversos;COGN3;COGNA ON;ON      NM;1.815.524.541;0,272;3,111;
Diversos;RENT3;LOCALIZA;ON  EJS NM;855.659.854;2,377;3,111;
Diversos;VAMO3;VAMOS;ON  EJ  NM;421.383.330;0,180;3,111;
Diversos;YDUQ3;YDUQS PART;ON      NM;289.347.914;0,282;3,111;
