IBOV - Carteira do Dia 11/01/24
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.566.445.852;7,728;17,709;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;275.005.663;0,250;17,709;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;800.010.734;1,591;17,709;
Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1.193.047.233;0,217;17,709;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.086.411.192;1,320;17,709;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.114.412.532;1,133;17,709;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;409.490.388;0,643;2,284;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.275.798.515;1,641;2,284;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;240.822.651;0,188;2,554;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4.394.332.306;0,877;2,554;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.168.230.366;1,489;2,554;
Tec.Informação/Programas Servs;LWSA3;LWSA;ON      NM;393.173.139;0,109;0,857;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;514.122.351;0,748;0,857;
Telecomunicação;VIVT3;TELEF BRASIL;ON;423.091.712;0,960;1,586;
Telecomunicação;TIMS3;TIM;ON      NM;807.896.814;0,626;1,586;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;340.001.799;1,139;1,139;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.437.415.777;0,774;10,959;
Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1.679.335.290;0,767;10,959;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,324;10,959;
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;1.980.568.384;3,797;10,959;
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;268.544.014;0,572;10,959;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT ED  N2;290.386.402;0,709;10,959;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.579.130.168;0,919;10,959;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255.236.961;0,507;10,959;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.095.587.251;1,740;10,959;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT ED  N2;218.568.234;0,370;10,959;
Utilidade Públ / Energ Elétrica;TRPL4;TRAN PAULIST;PN      N1;395.801.044;0,480;10,959;
Quantidade Teórica Total;;;;96.372.098.181;100,000;100,000
Redutor;;;;17.048.770,05751012
